id;title;type;place;date;description;free;created_at
rtveli;რთველი კახეთში;სოფლის დღესასწაული;სოფ. ველისციხე, კახეთი;20 სექტემბერი;ყურძნის კრეფა, ქვევრის გახსნა და ოჯახური სუფრები.;true;2026-08-01 15:43:26.083686+00
tushetoba;თუშეთობა;ფესტივალი;ომალო, თუშეთი;8 აგვისტო;მთის ტრადიციული დღესასწაული ცხენოსნობითა და მუსიკით.;false;2026-08-01 15:43:26.083686+00
keramika;კერამიკის გამოფენა;გამოფენა;ქუთაისი;12 ოქტომბერი;ადგილობრივი ხელოსნების ნამუშევრები და მასტერკლასები.;false;2026-08-01 15:43:26.083686+00
jazz;ჯაზი ბაღში;კონცერტი;თბილისი, ვერის პარკი;3 ივლისი;ღია ცის ქვეშ კონცერტი — ადაპტირებული სივრცით.;true;2026-08-01 15:43:26.083686+00
tbilisoba;თბილისობა;ქალაქის დღესასწაული;თბილისი, ძველი ქალაქი;ოქტომბრის პირველი შაბათ-კვირა;დედაქალაქის დაბადების დღე — ღვინის ქუჩა, კონცერტები აბანოთუბანში, ხელნაკეთი ბაზრობა და ფეიერვერკი.;true;2026-08-05 09:51:42.805887+00
artgeni;არტ-გენი;ფესტივალი;თბილისი, ეთნოგრაფიული მუზეუმი;ივლისი–აგვისტო;ტრადიციული მუსიკის, რეწვისა და კულინარიის ფესტივალი ღია ცის ქვეშ მუზეუმში.;false;2026-08-05 09:51:42.805887+00
black-sea-jazz;ბლექ სი ჯაზ ფესტივალი;ფესტივალი;ბათუმი;ივლისის ბოლო;საქართველოს უმსხვილესი ჯაზ ფესტივალი მსოფლიო ვარსკვლავებით ბათუმის ზღვისპირა პარკში.;false;2026-08-05 09:51:42.805887+00
tbilisi-open-air;თბილისი ოფენ ეარი;ფესტივალი;თბილისი, ლისის ტბა;ივნისი;მრავალდღიანი ღია ცის ქვეშ მუსიკალური ფესტივალი რამდენიმე სცენით.;false;2026-08-05 09:51:42.805887+00
echowaves;ექოვეივზი;ფესტივალი;ანაკლია;აგვისტო;ელექტრონული და ალტერნატიული მუსიკის ფესტივალი შავი ზღვის სანაპიროზე.;false;2026-08-05 09:51:42.805887+00
alilo;ალილო;რელიგიური მსვლელობა;თბილისი;7 იანვარი;საშობაო მსვლელობა ქალაქის ცენტრში საჩუქრებითა და საგალობლებით.;true;2026-08-05 09:51:42.805887+00
chveneburebi;ჩვენებურები;ფესტივალი;თბილისი;სექტემბერი;ქართული ტრადიციული კულტურის, კერძებისა და რეწვის ფესტივალი.;true;2026-08-05 09:51:42.805887+00
new-wine-festival;ახალი ღვინის ფესტივალი;ღვინის ფესტივალი;თბილისი, მთაწმინდის პარკი;მაისის მეორე შაბათი;ასობით მეღვინე წარადგენს ახალ მოსავალს — დეგუსტაცია და ცოცხალი მუსიკა.;false;2026-08-05 09:51:42.805887+00
