id;name;region;group_key;category;tags;hidden;is_local;rating;description;access;coord_x;coord_y;created_at;lat;lng
street-batumi;ბათუმის სტრიტ-ფუდის კუთხე;აჭარა;food;სწრაფი კვება;"[""Street Food"",""Drive""]";false;false;4.1;აჭარული ხაჭაპური და კუბდარი ერთ ქუჩაზე.;"{""wheelchair"":true}";18;58;2026-08-01 15:43:26.083686+00;41.646;41.64
birtvisi;ბირთვისის კანიონი;ქვემო ქართლი;nature;კანიონი;"[""ერთდღიანი"",""კლდეები""]";true;false;4.6;კლდოვანი ლაბირინთი თბილისიდან ერთ საათში.;"{""parking"":true}";55;62;2026-08-01 15:43:26.083686+00;41.625;44.533
dedaena;დედაენის ბაღი;თბილისი;leisure;პარკი;"[""ოჯახური"",""პიკნიკი""]";false;false;4.4;მდინარისპირა პარკი სასეირნო ბილიკებითა და ბავშვთა სივრცით.;"{""parking"":true,""ramp"":true,""toilet"":true,""wheelchair"":true}";60;55;2026-08-01 15:43:26.083686+00;41.693;44.806
biblioteka;ეროვნული ბიბლიოთეკა;თბილისი;culture;ბიბლიოთეკა;"[""სტუდენტური"",""სამუშაო სივრცე""]";false;false;4.5;სამკითხველო დარბაზები და ეზო ქალაქის ცენტრში.;"{""elevator"":true,""ramp"":true,""toilet"":true,""wheelchair"":true}";59;54;2026-08-01 15:43:26.083686+00;41.697;44.799
cafe-kutaisi;კაფე „ჩაი და ჩურჩხელა“;იმერეთი;food;კაფე;"[""Vegetarian"",""Family Friendly""]";false;true;4.3;პატარა კაფე ცენტრალურ ბაზართან, ადგილობრივი დესერტებით.;"{""ramp"":true,""toilet"":true}";36;48;2026-08-01 15:43:26.083686+00;42.2679;42.718
nikortsminda;ნიკორწმინდის ტაძარი;რაჭა;culture;ისტორიული ადგილი;"[""არქიტექტურა"",""XI საუკუნე""]";false;false;4.7;ქვის რელიეფებით დაფარული ტაძარი რაჭის მთებში.;"{""parking"":true}";44;36;2026-08-01 15:43:26.083686+00;42.453;43
okatse;ოკაცეს კანიონი;იმერეთი;nature;კანიონი;"[""ლაშქრობა"",""ხედი""]";false;false;4.8;დაკიდული ბილიკი კანიონის თავზე, ჩანჩქერებითა და ტყის ხედებით.;"{""parking"":true,""toilet"":true}";34;46;2026-08-01 15:43:26.083686+00;42.45;42.52
velo-rike;რიყის ველობილიკი;თბილისი;leisure;ველობილიკი;"[""სპორტი""]";false;false;4.2;მტკვრის სანაპიროზე გამავალი ველობილიკი.;"{""ramp"":true,""wheelchair"":true}";61;57;2026-08-01 15:43:26.083686+00;41.691;44.809
osm-4351377190;აბულის ტბა;სამცხე-ჯავახეთი;nature;ხედი;"[""ხედი"",""სამცხე-ჯავახეთი""]";true;true;4.4;ხედი — სამცხე-ჯავახეთი.;{};53.95;85.45;2026-08-03 10:38:42.238563+00;41.38562;43.62278
osm-4351527990;ჭიქიანის (თიქმათაში,ქათ-კარი)მენჰირი;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};57.63;81.24;2026-08-03 10:38:42.238563+00;41.49707;43.87627
osm-4352199889;მთა ჩანგილი;შიდა ქართლი;nature;ხედი;"[""ხედი"",""შიდა ქართლი""]";true;true;4.4;ხედი — შიდა ქართლი.;{};61.99;72.04;2026-08-03 10:38:42.238563+00;41.74089;44.17751
osm-4352373592;ჩხიკვთას მეგალითური კომპლექსი;ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};66.94;78.61;2026-08-03 10:38:42.238563+00;41.56692;44.51857
osm-4352553595;ს.პატარა კლდეისის საყინულე;ქვემო ქართლი;nature;ხედი;"[""ხედი"",""ქვემო ქართლი""]";true;true;4.4;ხედი — ქვემო ქართლი.;{};63.37;77.52;2026-08-03 10:38:42.238563+00;41.5956;44.2728
osm-4356525195;კიკეთის პანორამული ხედი;თბილისი;nature;ხედი;"[""ხედი"",""თბილისი""]";true;true;4.4;ხედი — თბილისი.;{};68.94;75.89;2026-08-03 10:38:42.238563+00;41.63891;44.65689
osm-4357315790;ნადარბაზევის მეფეთა ნასასახლევი;ქვემო ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""ქვემო ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — ქვემო ქართლი.;{};64.78;78.15;2026-08-03 10:38:42.238563+00;41.57909;44.37015
osm-4364339391;გადასახედი;სვანეთი;nature;ხედი;"[""ხედი"",""სვანეთი""]";true;true;4.4;ხედი — სვანეთი.;{};33.39;25.85;2026-08-03 10:38:42.238563+00;42.96492;42.20396
osm-4366390801;გრაკლიანი;მცხეთა-მთიანეთი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""მცხეთა-მთიანეთი""]";false;false;4.9;ღირსშესანიშნაობა — მცხეთა-მთიანეთი.;{};65.29;62.40;2026-08-03 10:38:42.238563+00;41.99653;44.40508
osm-4368138489;დანახვისის(წმ.გიორგის) ნიში;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};61.26;65.54;2026-08-03 10:38:42.238563+00;41.91327;44.12667
osm-4371576815;გოგირდის აბანოები;შიდა ქართლი;culture;ღირსშესანიშნაობა;"[""ღირსშესანიშნაობა"",""შიდა ქართლი""]";true;true;4.4;ღირსშესანიშნაობა — შიდა ქართლი.;{};59.22;67.13;2026-08-03 10:38:42.238563+00;41.87095;43.98594
marani-kakheti;საოჯახო მარანი „ხიხანი“;კახეთი;food;რესტორანი;"[""ქვევრის ღვინო"",""Family Owned""]";true;true;4.9;ოჯახური მარანი, სადაც ღვინოს დეგუსტაციასთან ერთად სუფრასაც გიშლიან.;"{""parking"":true,""ramp"":true}";74;52;2026-08-01 15:43:26.083686+00;41.9197;45.4731
tobavarchkhili;ტობავარჩხილის ტბები;სამეგრელო;nature;ტბა;"[""მრავალდღიანი"",""ველური ბუნება""]";true;false;4.9;ვერცხლის ტბები 2650 მეტრზე — ტურისტები აქ თითქმის არ დადიან.;{};26;38;2026-08-01 15:43:26.083686+00;42.75;42.25
osm-888765992;ცისფერი ტბა;აფხაზეთი;leisure;ხედი;"[""ხედი"",""აფხაზეთი""]";false;false;4.8;ხედი — აფხაზეთი.;{};7.42;11.29;2026-08-03 10:38:42.238563+00;43.350865;40.4121007
osm-1182747224;ქეთევან იაშვილის გალერეა;კახეთი;culture;გალერეა;"[""გალერეა"",""კახეთი""]";true;true;4.4;გალერეა — კახეთი.;{};80.80;65.33;2026-08-03 10:38:42.238563+00;41.91864;45.47501
osm-4436779990;"ტბა ""საქართველო"" (2400 მ.)";სვანეთი;nature;ხედი;"[""ხედი"",""სვანეთი""]";true;true;4.4;ხედი — სვანეთი.;{};40.77;21.90;2026-08-03 10:38:42.238563+00;43.06953;42.71298
osm-1273141286;ნიკოლაძის კოშკი;გურია;leisure;მუზეუმი;"[""მუზეუმი"",""გურია""]";false;false;4.8;მუზეუმი — გურია.;{};25.71;56.9;2026-08-03 10:38:42.238563+00;42.1420669;41.6736935
osm-1437496277;სტეგოზავრი;იმერეთი;culture;არქეოლოგიური ძეგლი;"[""არქეოლოგიური ძეგლი"",""იმერეთი""]";false;false;4.8;არქეოლოგიური ძეგლი — იმერეთი.;{};40.17;50.63;2026-08-03 10:38:42.238563+00;42.3083202;42.6719095
osm-1437496278;იგუანოდონი;იმერეთი;culture;არქეოლოგიური ძეგლი;"[""არქეოლოგიური ძეგლი"",""იმერეთი""]";false;false;4.8;არქეოლოგიური ძეგლი — იმერეთი.;{};40.17;50.63;2026-08-03 10:38:42.238563+00;42.308233;42.6719417
osm-1437496279;ტირანოზავრი;იმერეთი;culture;არქეოლოგიური ძეგლი;"[""არქეოლოგიური ძეგლი"",""იმერეთი""]";false;false;4.8;არქეოლოგიური ძეგლი — იმერეთი.;{};40.19;50.65;2026-08-03 10:38:42.238563+00;42.3077886;42.6729288
